,oos,trf_avg,atc,latency,perfect_order,retention,GMV_cur
2844,1,3463,89,0.49,1,1,2814.87
2845,1,4121,89,1.12,0,0,2896.39
2846,1,1945,76,1.63,0,1,1547.85
2847,1,482,93,0.67,0,0,1032.99
2848,0,4212,11,2.34,0,1,1974.34
2849,1,4688,11,4.92,1,0,2560.54
2850,1,3910,26,2.62,0,0,2174.78
2851,0,1996,53,3.74,1,0,1639.86
2852,0,1609,14,3.45,1,0,1040.47
2853,1,4312,64,4.26,1,1,2752.65
2854,1,1678,80,1.16,1,0,1799.04
2855,0,979,10,3.79,1,1,549.48
2856,1,2262,31,4.42,1,1,1580.28
2857,0,1672,95,0.94,1,0,2025.12
2858,0,1748,36,1.8,0,0,1314.82
2859,0,4839,10,4.85,1,0,2627.53
2860,0,1459,26,3.93,0,0,858.9
2861,1,4531,20,1.48,0,1,2429.12
2862,0,3069,44,2.86,1,1,2195.39
2863,0,4060,62,2.08,1,0,2692.63
2864,1,3911,73,2.5,1,1,2778.58
2865,0,4342,79,1.84,0,0,2950.74
2866,1,4317,9,1.47,0,1,2217.23
2867,1,180,71,3.41,0,0,646.57
2868,1,2832,90,3.91,1,1,2450.9
2869,0,2809,24,4.38,0,0,1460.88
2870,1,2522,12,0.86,1,0,1715.6
2871,1,3741,60,4.13,0,0,2275.46
2872,0,4699,84,1.35,1,0,3403.28
2873,1,767,78,2.19,1,1,1214.45
2874,1,2596,86,4.52,1,0,2227.4
2875,1,3599,16,2.33,0,0,1754.98
2876,1,3598,29,1.07,0,1,2125.16
2877,1,1544,32,0.88,0,1,942.66
2878,0,1445,83,2.42,0,0,1512.26
2879,1,1289,35,3.84,0,1,861.31
2880,1,558,43,4.99,1,1,689.03
2881,0,1312,96,3.96,1,0,1482.28
2882,0,4659,53,4.4,1,0,3077.44
2883,0,1011,20,3.76,1,0,844.74
2884,1,1125,84,4.49,0,0,1088.67
2885,0,2511,8,0.47,0,0,1134.77
2886,1,171,99,4.66,1,1,1100.09
2887,1,2785,42,2.04,1,1,1913.45
2888,0,1293,77,4.62,0,0,1302.6
2889,0,1948,70,0.47,0,0,1808.99
2890,1,2484,16,3.6,1,0,1313.04
2891,0,2122,69,3.7,1,0,1898.23
2892,1,3841,53,4.98,0,1,2365.46
2893,0,4848,45,3.87,0,1,2859.05
2894,0,1398,51,1.97,0,0,1258.99
2895,0,4202,98,2.83,1,1,3236.09
2896,1,1004,6,1.9,1,1,698.61
2897,0,3126,33,1.06,0,0,1838.82
2898,1,2128,79,1.32,1,0,1826.64
2899,1,4811,15,1.19,1,1,2714.58
2900,1,2720,14,2.79,0,1,1353.94
2901,1,2746,39,4.54,1,1,1747.8
2902,0,4965,63,4.57,1,1,3258.35
2903,1,2389,5,0.37,1,0,1433.25
2904,1,3972,90,0.49,0,1,2755.63
2905,0,1585,81,1.3,0,0,1601.5
2906,1,3251,52,1.35,1,1,2260.38
2907,0,1540,16,0.56,1,1,1137.79
2908,1,865,99,2.0,1,0,1657.86
2909,0,4579,38,2.98,1,0,2854.15
2910,1,2538,53,2.93,0,1,1727.1
2911,0,4192,87,2.76,1,1,3022.28
2912,1,4883,77,1.76,1,0,3251.87
2913,1,1249,97,3.56,1,1,1721.46
2914,0,3665,93,4.15,1,0,2720.73
2915,0,4242,53,1.8,0,0,2579.36
2916,0,2072,46,0.52,1,1,1609.27
2917,0,2766,98,1.55,0,1,2317.78
2918,1,563,98,0.77,0,0,1174.54
2919,1,4318,91,2.39,1,0,3184.26
2920,0,2281,15,0.86,0,0,1319.81
2921,1,1742,59,2.37,0,0,1460.26
2922,0,3988,50,1.18,0,0,2574.58
2923,0,940,9,3.72,1,0,661.89
2924,1,2754,26,0.24,0,1,1523.11
2925,1,4218,3,2.82,0,1,1953.82
2926,1,665,47,0.93,1,0,901.66
2927,1,1064,5,0.1,0,1,431.22
2928,1,2382,62,4.36,1,0,1920.77
2929,1,1095,84,3.39,1,0,1572.05
2930,1,1287,84,0.58,1,0,1469.44
2931,0,4411,5,3.35,1,1,2389.45
2932,0,3354,10,3.1,1,1,2070.6
2933,0,756,80,2.42,0,0,981.44
2934,0,3082,63,2.15,1,0,2475.72
2935,0,1213,25,4.45,0,1,681.52
2936,1,4506,44,1.3,0,1,2556.28
2937,0,656,25,2.05,1,0,798.76
2938,0,3119,30,1.71,0,0,1876.06
2939,0,2404,14,3.88,0,1,1253.86
2940,0,2680,86,4.59,1,1,2231.86
2941,0,151,43,4.26,1,0,495.91
2942,0,1461,28,4.01,1,0,1122.64
2943,0,1294,94,4.94,0,0,1466.97
2944,1,4119,19,3.52,0,0,2049.87
2945,1,3238,42,3.78,0,0,1887.85
2946,0,1748,20,4.92,0,0,1000.69
2947,1,771,99,0.13,1,1,1629.89
2948,1,877,86,3.21,0,1,1203.81
2949,1,2379,79,3.72,0,1,1837.54
2950,1,3122,11,4.6,1,0,1646.66
2951,0,1960,54,4.43,0,0,1356.95
2952,1,3239,98,4.23,1,1,2686.54
2953,1,1174,24,4.73,0,1,709.47
2954,1,1816,70,2.73,1,0,1681.18
2955,0,1383,17,0.13,0,1,949.41
2956,0,4786,28,0.15,1,1,2875.88
2957,0,2086,50,2.77,0,0,1438.96
2958,0,2733,95,2.23,0,1,2206.4
2959,0,1101,55,2.31,1,1,1182.09
2960,0,1146,73,2.06,1,1,1509.8
2961,0,2276,10,4.6,1,0,1283.87
2962,1,2438,21,1.86,0,0,1352.56
2963,1,1955,58,4.3,1,1,1536.65
2964,1,600,34,4.52,1,1,682.9
2965,0,2333,95,2.55,0,0,2060.05
2966,0,4674,93,2.29,1,0,3657.61
2967,0,2639,43,3.83,1,0,1742.19
2968,0,4708,11,3.57,1,0,2673.47
2969,0,3814,33,1.71,0,0,2125.94
2970,1,2432,58,0.6,0,1,1868.97
2971,1,700,46,1.4,0,0,662.2
2972,0,4384,61,0.74,1,1,3090.82
2973,0,1088,62,1.54,0,1,1155.37
2974,0,1981,1,1.38,0,0,839.76
2975,0,4583,21,3.22,0,0,2456.97
2976,1,1854,62,4.78,1,0,1652.96
2977,0,2564,64,3.46,0,1,1911.56
2978,0,2323,87,4.64,0,0,1915.01
2979,0,4582,73,3.94,0,1,3201.66
2980,0,1594,56,3.67,0,0,1478.21
2981,1,952,1,2.13,1,1,627.21
2982,0,551,21,1.69,0,1,320.09
2983,0,2424,22,4.25,0,0,1246.97
2984,1,1858,54,4.54,0,0,1301.3
2985,1,4408,4,2.31,1,1,2338.2
2986,1,3453,65,0.14,1,1,2441.09
2987,0,4236,51,3.98,0,0,2494.03
2988,0,4795,74,1.5,1,1,3108.61
2989,1,3438,63,0.15,0,1,2079.87
2990,1,2688,15,4.04,1,0,1564.58
2991,1,1882,36,2.64,1,0,1557.44
2992,1,3620,29,3.46,0,1,1825.69
2993,1,1879,52,4.58,1,1,1496.56
2994,1,3232,46,2.75,1,0,2169.15
2995,0,3673,69,2.57,0,0,2512.38
2996,0,3318,29,1.52,0,0,1867.56
2997,0,3857,47,1.6,1,1,2456.48
2998,1,4116,91,4.0,1,0,3102.58
2999,1,2937,25,2.3,1,1,1627.09
3000,1,2481,80,0.9,1,0,2210.68
3001,1,4339,16,0.56,0,0,2187.91
3002,1,4036,89,2.42,1,1,3033.98
3003,1,4528,41,2.38,0,0,2692.45
3004,0,1519,65,3.3,0,1,1274.87
3005,0,4250,69,2.41,0,0,2729.98
3006,1,1430,20,0.8,1,0,1006.94
3007,0,3017,69,2.59,1,0,2574.55
3008,1,1546,36,4.54,0,0,979.4
3009,0,1540,93,0.88,0,0,1665.01
3010,1,3844,98,3.48,0,1,2773.75
3011,1,2944,58,3.01,0,1,2077.09
3012,0,4275,48,3.77,0,1,2478.3
3013,0,964,82,0.84,1,0,1564.53
3014,1,571,2,4.71,1,0,285.4
3015,1,1602,80,3.14,1,0,1605.36
3016,0,4784,29,4.25,1,0,2834.08
3017,0,1510,97,1.31,0,1,1820.22
3018,1,3870,16,3.72,0,1,1932.27
3019,0,2005,35,3.93,1,0,1434.86
3020,1,4759,62,2.05,0,1,2972.02
3021,1,4101,81,1.98,0,0,2769.84
3022,1,3604,4,3.32,0,0,1793.6
3023,1,3583,68,0.56,1,0,2447.76
3024,0,4662,51,3.7,1,1,2863.07
3025,0,698,89,0.31,1,0,1426.64
3026,0,1091,33,1.03,1,1,1100.08
3027,0,2032,78,3.35,1,1,1916.01
3028,0,2884,24,0.58,1,0,1878.38
3029,0,3141,75,4.86,0,1,2283.96
3030,0,166,25,4.36,1,0,321.13
3031,1,3498,28,3.17,0,1,1976.24
3032,0,2850,7,4.11,1,0,1717.86
3033,0,569,36,4.45,1,0,721.22
3034,1,1824,10,1.37,0,0,848.49
3035,0,4085,36,4.26,1,0,2606.18
3036,0,1731,95,1.05,0,0,1966.45
3037,1,874,83,2.13,1,1,1389.18
3038,0,3112,18,2.84,0,0,1590.91
3039,0,2603,6,3.6,1,0,1488.92
3040,0,1586,92,0.25,0,1,1624.63
3041,1,4119,7,1.52,1,0,2320.71
3042,0,4327,12,3.08,0,0,2216.84
3043,0,1029,41,1.85,1,1,994.7
3044,1,3112,63,3.9,1,0,2277.94
3045,0,1605,98,3.29,1,1,1851.16
3046,1,4829,25,1.25,1,1,2657.99
3047,1,3044,81,0.82,1,1,2541.53
3048,0,2919,53,3.18,1,0,2155.76
3049,1,1284,33,2.31,0,1,828.88
3050,1,388,87,0.93,0,0,1122.61
3051,0,1911,73,1.7,0,1,1576.83
3052,1,627,6,1.58,0,1,248.43
3053,1,1016,62,0.63,0,1,1102.9
3054,0,1808,66,2.78,0,0,1596.03
3055,0,3674,9,3.84,1,1,2089.3
3056,0,3419,67,2.92,1,0,2464.7
3057,1,1506,16,4.15,1,1,956.26
3058,0,1341,89,0.73,0,1,1481.37
3059,1,3233,88,2.23,1,0,2568.67
3060,1,898,93,3.09,0,1,1241.54
3061,1,1623,55,3.41,0,1,1284.93
3062,1,4207,40,3.51,0,0,2314.3
3063,1,2988,26,3.67,1,0,1926.08
3064,1,2790,38,3.29,1,1,1856.7
3065,1,4191,35,0.56,0,1,2298.91
3066,0,1341,87,3.51,1,1,1709.16
3067,0,790,68,3.65,1,0,1189.99
3068,1,627,59,4.97,0,0,708.09
3069,1,1595,14,3.5,1,1,1159.15
3070,0,3925,47,3.47,1,0,2531.83
3071,1,2993,71,2.62,0,0,2058.69
3072,0,992,72,4.35,0,1,1225.07
3073,0,486,42,4.98,1,0,813.79
3074,0,1349,51,3.92,1,0,1381.54
3075,1,2628,19,3.1,1,0,1535.69
3076,1,4603,66,0.49,0,0,2923.69
3077,0,3628,47,3.66,0,0,2072.16
3078,0,997,65,3.57,0,1,885.06
3079,0,810,42,3.9,1,0,887.91
3080,0,3795,38,0.71,1,0,2468.02
3081,0,2786,13,3.3,0,0,1697.02
3082,1,4612,44,1.55,0,0,2789.98
3083,0,515,24,3.83,0,1,311.55
3084,1,1571,96,1.28,1,1,1957.46
3085,0,4280,30,3.45,1,0,2436.45
3086,1,4362,70,1.55,1,1,3153.3
3087,1,2531,38,0.14,1,0,1742.17
3088,1,2615,97,3.2,0,1,2106.04
3089,1,1195,23,0.66,1,0,1066.32
3090,1,909,74,3.33,1,0,1221.99
3091,1,3144,57,4.64,0,1,2174.03
3092,0,1092,79,4.85,0,0,1181.99
3093,1,1381,23,1.26,0,1,934.05
3094,0,4470,36,4.07,1,0,2725.2
3095,1,1873,57,1.83,0,1,1487.78
3096,1,3661,1,4.51,1,1,1799.53
3097,0,3916,72,3.96,0,1,2415.46
3098,1,1856,3,0.46,1,1,1004.93
3099,0,2473,14,2.09,1,0,1494.31
3100,0,2676,81,1.75,0,0,2093.01
3101,0,991,34,3.95,0,1,708.09
3102,0,4284,70,2.11,1,0,2786.14
3103,1,807,69,3.45,0,0,910.63
3104,1,2497,51,3.05,1,0,1851.46
3105,0,4582,29,4.88,0,1,2459.06
3106,1,2234,99,4.7,1,1,2125.56
3107,1,2454,82,2.2,1,0,2106.99
3108,0,4635,48,3.65,0,0,2730.14
3109,1,1076,94,4.16,1,1,1440.08
3110,0,834,79,4.5,1,0,1292.47
3111,0,2568,79,0.43,1,0,2224.64
3112,1,2640,16,1.58,1,0,1473.51
3113,1,732,57,1.67,0,1,834.45
3114,1,4368,97,2.23,1,1,3060.79
3115,0,4199,10,0.93,1,1,2313.01
3116,0,3001,19,2.53,0,0,1673.59
3117,1,1763,67,3.35,0,0,1475.69
3118,1,2115,36,2.54,1,0,1518.02
3119,1,3281,4,3.36,1,1,1785.78
3120,1,4163,75,0.43,1,1,3034.89
3121,0,2730,33,4.39,0,1,1617.66
3122,1,3972,28,4.7,1,0,2439.65
3123,0,1154,96,3.13,1,1,1462.25
3124,0,480,80,4.42,0,0,1034.08
3125,1,3182,9,0.74,1,0,1598.74
3126,1,2491,75,4.01,0,1,1802.63
3127,1,1692,6,0.68,1,0,1115.45
3128,0,4361,49,2.1,0,0,2690.51
3129,1,2847,91,1.69,1,1,2352.71
3130,1,2489,76,2.97,1,0,2090.3
3131,0,3653,22,1.58,0,1,1955.37
3132,1,3127,48,3.22,0,1,2013.84
3133,0,1307,21,1.9,1,1,1017.77
3134,1,3953,33,4.32,0,0,2105.28
3135,0,644,81,3.21,0,1,1105.98
3136,1,3181,56,1.15,0,1,2135.41
3137,1,3763,29,1.75,1,1,2266.98
3138,0,2339,53,4.25,1,0,1879.83
3139,0,2467,40,1.99,0,0,1749.86
3140,1,3873,74,2.73,0,0,2363.85
3141,0,2727,18,3.28,0,1,1598.5
3142,0,4031,47,1.8,1,1,2792.71
3143,0,2574,13,1.54,0,1,1431.11
3144,0,3230,27,2.43,0,0,1805.15
3145,1,3607,62,1.15,1,1,2394.63
3146,1,196,74,1.49,0,1,762.45
3147,0,3958,96,0.4,1,0,3090.74
3148,0,2808,45,1.59,1,0,1883.09
3149,0,3436,3,1.67,0,1,1648.93
3150,0,556,22,4.81,1,1,597.81
3151,1,4468,27,2.99,1,1,2621.14
3152,1,3087,55,3.96,1,0,2061.83
3153,0,4188,67,0.32,1,0,2719.59
3154,0,3984,33,0.62,0,1,2284.03
3155,0,1131,2,4.09,1,0,611.9
3156,1,307,75,3.16,0,0,746.67
3157,0,2037,46,1.04,1,1,1453.02
3158,1,1246,74,2.08,1,1,1439.32
3159,0,4399,33,2.74,0,0,2511.94
3160,1,2664,58,4.23,1,0,1933.06
3161,0,542,7,0.4,0,0,343.33
3162,1,4884,15,3.02,1,0,2652.18
3163,0,932,26,3.61,1,1,656.69
3164,0,1561,11,4.89,0,0,800.8
3165,0,3616,38,4.06,1,1,2228.35
3166,1,1259,27,1.45,1,0,888.03
3167,0,486,7,3.58,0,1,309.22
3168,1,2141,1,3.84,1,0,1180.64
3169,1,2653,74,3.68,1,1,2081.68
3170,0,1818,21,4.12,1,1,1221.09
3171,0,4875,79,4.53,1,1,3352.94
3172,0,4150,30,0.58,1,0,2393.53
3173,1,3509,94,0.61,0,0,2518.25
3174,0,789,8,4.0,0,0,285.22
3175,1,1269,88,1.34,1,0,1687.47
3176,1,1052,83,0.39,1,1,1654.75
3177,0,4979,3,2.07,1,0,2737.22
3178,0,4690,55,4.12,0,1,2824.37
3179,0,3596,15,0.72,1,1,2030.88
3180,0,4017,36,3.39,1,0,2574.76
3181,0,4942,6,0.12,1,1,2692.35
3182,0,2584,42,0.64,1,1,1798.06
3183,1,1954,50,1.82,0,0,1462.86
3184,1,3539,18,0.51,1,0,2222.29
3185,1,3331,83,4.24,1,1,2634.57
3186,0,2697,50,4.33,1,0,2199.75
3187,1,4083,30,3.8,1,1,2339.65
3188,1,2291,77,1.29,1,0,1992.81
3189,1,2735,39,2.66,1,0,1766.23
3190,1,756,12,1.0,1,1,539.32
3191,1,3912,98,1.48,0,0,2996.12
3192,0,3440,59,2.63,1,0,2346.61
3193,0,4011,76,3.7,0,0,2636.76
3194,1,1896,44,0.56,0,1,1452.88
3195,1,4463,88,1.55,1,1,3269.12
3196,1,1862,4,4.64,1,0,926.61
3197,0,4572,36,2.2,1,1,2793.93
3198,0,3385,48,4.7,0,1,1908.63
3199,1,1685,14,4.96,0,1,813.2
3200,0,3663,81,2.68,0,0,2595.57
3201,0,2540,49,1.51,1,0,1943.9
3202,1,4684,67,3.97,1,0,3270.35
3203,0,4917,87,0.88,0,1,3385.22
3204,0,3200,77,1.34,0,1,2226.14
3205,1,3344,9,3.95,1,0,1843.87
3206,0,1140,21,2.22,0,0,729.06
3207,0,3227,72,1.09,0,0,2498.26
3208,1,2373,81,3.29,0,0,1836.56
3209,0,3729,16,3.69,0,1,1963.73
3210,0,2214,16,0.71,0,0,1279.51
3211,1,1777,28,1.46,0,1,982.32
3212,1,3194,51,1.18,0,0,1880.96
3213,1,1098,56,1.96,1,0,1197.16
3214,0,2384,80,3.84,0,1,1981.88
3215,1,1689,57,3.6,1,0,1361.2
3216,0,1261,52,3.35,1,0,1273.52
3217,1,2620,46,0.13,0,1,1650.46
3218,0,3955,78,0.8,1,1,2747.9
3219,1,4748,38,1.19,0,0,2703.51
3220,1,794,84,1.43,1,1,1399.32
3221,1,4512,48,0.82,1,1,2936.64
3222,1,4963,41,2.11,0,0,2877.62
3223,0,3898,98,0.47,1,0,3109.68
3224,1,3783,59,3.78,0,0,2395.95
3225,1,2071,93,3.96,1,1,2055.09
3226,0,1603,67,2.91,0,1,1155.98
3227,1,3349,74,0.54,0,0,2203.72
3228,0,4318,84,4.46,1,0,3035.76
3229,1,3342,66,4.83,0,0,2189.64
3230,1,1968,27,1.09,0,0,1208.97
3231,1,1771,32,3.55,1,1,1349.71
3232,0,1182,56,4.23,0,0,1133.87
3233,1,1828,10,2.75,1,1,1127.6
3234,1,3951,40,1.68,1,1,2541.12
3235,1,2242,17,2.44,1,0,1545.5
3236,0,1248,58,2.61,0,1,1192.89
3237,0,353,97,2.06,1,1,1301.94
3238,1,4202,6,4.66,0,1,2063.62
3239,0,3642,39,3.75,1,0,2417.57
3240,1,2875,18,1.28,1,0,1896.85
3241,1,4737,73,2.97,1,0,3079.62
3242,1,3433,72,3.47,0,0,2153.16
3243,1,4284,89,0.79,1,0,3186.93
3244,1,3379,95,1.86,0,0,2407.77
3245,1,4408,42,4.54,0,1,2458.28
3246,1,2981,4,2.88,0,1,1604.0
3247,0,365,20,1.16,0,1,359.65
3248,0,2440,28,0.7,0,1,1487.44
3249,0,3248,40,2.64,1,1,2131.14
3250,0,3459,65,2.78,0,1,2474.4
3251,0,1104,44,1.74,1,1,1199.53
3252,0,2194,23,3.19,1,1,1416.4
3253,0,4817,57,0.44,0,0,3117.7
3254,1,3371,47,0.81,1,0,2307.82
3255,1,4622,13,2.78,1,1,2493.9
3256,1,309,16,0.4,0,1,47.69
3257,1,987,90,4.42,0,0,1268.84
3258,0,253,55,0.8,1,0,815.36
3259,0,3693,95,3.4,0,0,2697.03
3260,1,514,65,2.02,0,1,779.51
3261,1,3524,81,2.06,1,1,2497.74
3262,0,1384,16,3.85,0,0,1031.38
3263,1,3248,37,2.55,0,1,1823.62
3264,1,868,52,3.66,0,1,897.63
3265,1,1082,10,2.58,0,0,517.51
3266,1,3302,38,3.01,0,0,1647.06
3267,0,4774,44,3.83,0,0,2735.58
3268,1,3626,95,3.08,1,1,2863.34
3269,1,2887,74,3.12,0,0,2016.59
3270,0,2310,54,3.97,1,0,1960.69
3271,0,1138,98,4.75,1,0,1833.2
3272,1,4032,51,1.95,1,1,2665.71
3273,0,641,52,2.93,1,1,1024.23
3274,1,458,70,0.52,0,1,753.35
3275,1,949,92,1.86,1,0,1391.67
3276,0,4622,92,2.12,0,1,3123.16
3277,1,2644,59,4.19,1,1,2178.21
3278,1,4681,13,2.62,1,0,2513.24
3279,1,1931,41,3.68,0,1,1383.61
3280,1,1572,12,0.19,0,1,779.94
3281,0,1536,50,2.38,1,1,1324.18
3282,0,429,57,4.52,0,1,644.06
3283,1,4454,50,1.2,1,1,2800.41
3284,0,4338,57,0.25,0,1,2661.45
3285,1,4108,54,2.22,0,1,2655.75
3286,1,4822,66,3.55,1,1,3144.58
3287,1,1488,8,2.33,0,0,707.5
3288,1,4285,63,2.35,1,0,2878.04
3289,1,819,9,3.38,0,0,473.39
3290,0,3335,60,1.35,1,0,2443.01
3291,1,4676,63,3.78,1,0,3072.95
3292,0,2231,72,0.85,1,0,2120.27
3293,0,1200,3,2.04,0,0,482.29
3294,1,772,73,3.31,1,1,1116.03
3295,1,616,13,4.16,1,1,515.65
3296,1,2632,9,3.98,0,1,1205.62
3297,1,3770,95,3.64,1,1,2888.99
3298,1,881,89,1.86,1,1,1333.02
3299,0,3623,52,0.7,1,0,2431.22
3300,1,3658,62,1.16,0,0,2486.84
3301,1,2486,8,4.34,0,1,1149.51
3302,0,4882,95,4.3,1,1,3459.12
3303,0,1689,45,4.76,0,1,1116.59
3304,1,1601,53,0.47,1,0,1382.56
3305,0,3894,63,2.73,0,0,2418.65
3306,1,4418,95,3.28,1,1,3114.29
3307,0,3180,81,3.58,1,0,2458.02
3308,0,1176,57,3.25,1,1,1281.43
3309,1,1200,54,3.87,0,1,1076.66
3310,0,602,19,1.86,1,0,645.36
3311,0,1439,67,0.98,1,1,1469.15
3312,0,3985,46,1.1,0,0,2376.37
3313,0,723,94,0.16,0,1,1238.12
3314,0,1986,10,1.82,1,1,1190.48
3315,0,3450,93,0.55,0,0,2606.13
3316,1,1150,18,1.68,1,0,960.36
3317,1,3872,12,3.18,0,0,2009.78
3318,0,4016,49,4.48,0,1,2568.07
3319,1,4118,23,4.21,1,1,2265.49
3320,1,1429,62,1.34,1,1,1346.02
3321,1,4214,11,0.76,1,1,2314.88
3322,0,3467,73,1.05,0,1,2559.14
3323,1,4051,56,4.86,1,0,2427.83
3324,0,2597,88,2.79,0,0,2134.09
3325,1,1673,89,0.99,1,1,1822.85
3326,0,2734,55,4.22,1,0,2094.95
3327,0,2868,25,2.04,1,0,1885.22
3328,1,1311,9,4.51,0,1,667.21
3329,1,875,12,1.38,1,0,728.91
3330,0,1260,11,2.03,0,1,979.62
3331,1,2483,38,2.57,1,1,1898.53
3332,1,2754,28,4.47,1,0,1800.14
3333,1,3640,8,4.36,0,0,1714.28
3334,0,4797,74,2.91,0,1,3042.73
3335,0,4735,89,1.19,0,1,3348.61
3336,1,1195,47,2.08,1,1,1294.69
3337,1,123,36,4.88,1,0,388.82
3338,1,4819,50,3.08,0,1,2597.99
3339,0,3656,9,3.93,1,1,1856.2
3340,0,1179,60,2.3,0,1,1260.77
3341,1,4418,72,2.71,0,1,2960.84
3342,1,278,67,2.2,1,0,916.73
3343,1,2947,53,3.54,0,1,1915.09
3344,1,2060,82,4.27,1,0,2092.83
3345,1,1573,99,2.59,0,1,1876.11
3346,1,4988,17,2.46,1,1,2832.77
3347,0,1312,53,1.77,0,1,1148.43
3348,1,909,28,0.97,1,1,821.86
3349,0,519,63,4.7,0,0,767.35
3350,1,3759,15,1.65,1,0,2069.04
3351,1,3916,19,4.02,1,0,2282.77
3352,0,1378,86,3.61,1,1,1663.66
3353,0,2623,70,3.98,0,1,1849.94
3354,0,1540,47,4.69,1,0,1459.12
3355,0,1440,71,3.15,0,0,1422.29
3356,1,2321,48,4.5,0,0,1526.27
3357,0,2492,73,0.92,0,1,1941.53
3358,1,1461,20,3.17,1,1,1062.81
3359,0,691,37,3.88,0,0,603.07
3360,1,626,75,1.43,0,0,1261.31
3361,1,2603,2,3.73,1,0,1625.16
3362,1,1392,64,3.91,1,1,1326.07
3363,1,1754,86,4.17,1,1,1777.63
3364,1,287,36,1.63,1,1,531.03
3365,1,2858,5,3.44,0,1,1172.63
3366,0,628,64,1.59,0,1,1092.88
3367,1,533,7,3.72,0,0,197.12
3368,0,3612,70,2.37,0,0,2349.18
3369,0,1904,22,3.03,0,1,938.11
3370,1,402,74,2.14,1,0,1070.48
3371,0,4282,46,0.89,0,1,2619.03
3372,1,537,40,0.97,1,0,840.25
3373,0,2688,61,0.48,1,0,2251.42
3374,1,932,46,3.13,0,0,903.03
3375,0,896,84,4.26,0,1,1074.06
3376,1,659,28,0.2,0,0,446.65
3377,1,3688,87,0.42,1,1,2953.07
3378,1,861,35,2.34,1,0,821.92
3379,1,3674,1,3.71,1,0,1776.16
3380,0,3885,29,0.87,0,0,2077.74
3381,1,2614,9,1.43,1,0,1612.09
3382,0,784,9,1.24,1,0,749.14
3383,0,4333,22,2.06,1,0,2558.12
3384,0,677,63,1.2,1,1,1050.22
3385,1,4905,66,1.83,0,1,3019.6
3386,0,327,80,3.67,1,1,1074.13
3387,0,2428,58,3.09,0,1,1688.16
3388,0,2831,70,0.5,0,1,2173.89
3389,1,927,55,3.22,0,1,851.1
3390,1,530,13,2.44,0,0,350.22
3391,0,1163,97,4.68,1,0,1691.28
3392,1,1809,19,1.52,0,0,869.95
3393,1,1334,79,3.66,0,1,1533.13
3394,0,401,33,3.68,1,1,714.59
3395,0,1520,74,1.19,1,0,1516.93
3396,1,4728,65,4.53,1,0,2929.71
3397,0,868,60,2.51,1,0,1342.22
3398,1,1504,12,3.43,0,0,771.38
3399,1,543,43,0.81,1,1,891.38
3400,1,3204,93,1.36,1,0,2693.59
3401,1,4455,17,2.97,0,1,2396.84
3402,1,3405,68,1.66,0,1,2412.48
3403,1,1638,29,2.55,1,0,1120.24
3404,0,4030,55,1.93,0,1,2576.72
3405,0,1431,7,3.24,1,1,780.2
3406,1,169,44,2.49,1,0,515.91
3407,1,3535,77,0.12,0,1,2454.76
3408,1,580,5,3.28,0,1,54.35
3409,0,4194,60,2.17,0,0,2575.84
3410,1,3596,6,1.77,0,0,1555.36
3411,0,2893,98,0.56,1,0,2613.3
3412,1,2992,7,1.18,1,0,1856.66
3413,1,1298,46,1.2,0,0,1038.2
3414,0,2472,57,4.68,1,1,1915.89
3415,0,1992,54,2.22,0,0,1455.66
3416,1,1983,92,0.31,1,0,2152.98
3417,1,897,46,0.78,1,1,1037.72
3418,1,117,10,0.49,1,1,188.77
3419,0,143,4,2.99,1,1,268.67
3420,0,254,67,1.01,1,0,1132.05
3421,0,3548,25,2.54,1,0,2030.46
3422,0,4938,87,1.91,0,0,3206.7
3423,0,4180,91,4.04,0,1,2908.76
3424,0,1525,78,1.67,0,0,1474.05
3425,1,4420,61,2.35,1,1,2965.0
3426,1,4412,38,3.63,0,1,2365.1
3427,0,3739,32,2.22,1,1,2292.13
3428,1,4226,23,3.99,1,1,2418.44
3429,1,1992,37,3.34,1,1,1457.87
3430,0,997,3,2.11,0,1,746.64
3431,1,3524,99,2.57,1,0,2928.93
3432,0,4640,13,4.84,1,1,2399.14
3433,0,1358,34,3.34,0,0,850.66
3434,1,2115,88,4.53,0,1,1660.74
3435,0,4933,65,0.98,0,1,3258.3
3436,0,1802,76,2.47,1,1,1704.68
3437,0,973,8,4.55,1,1,734.24
3438,0,665,83,1.68,0,1,1177.61
3439,0,2118,9,4.84,1,1,1105.63
3440,0,1985,28,0.58,1,1,1419.01
3441,0,2223,78,4.52,1,0,1974.66
3442,0,4742,91,2.28,0,1,3077.3
3443,1,2414,18,0.46,1,0,1706.3
3444,1,4512,42,4.41,0,1,2554.84
3445,1,3983,41,1.33,0,1,2484.21
3446,0,3292,70,0.21,0,0,2562.61
3447,0,1959,33,0.77,1,0,1510.06
3448,1,124,89,3.33,1,1,1072.76
3449,1,3603,77,4.89,1,0,2544.92
3450,1,4355,54,0.65,0,1,2787.86
3451,0,1237,87,2.36,0,0,1436.52
3452,1,1289,36,0.99,1,0,1092.36
3453,1,4898,97,3.75,1,0,3417.23
3454,0,4196,85,0.68,0,0,2941.73
3455,1,3257,98,1.28,1,0,2795.05
3456,0,2467,56,1.06,0,1,1792.66
3457,0,4577,17,2.81,0,0,2448.55
3458,0,1841,10,4.38,0,0,911.33
3459,1,3788,87,2.6,0,0,2712.48
